State,2022,,2021,,2020 (41),,2019,,2018,,2017 (40),,2017,,2016,,2015,,2014,,2013 (39),,2013 (38),,2012,,2011,,2010 (37),,2009 (36),,2008,,2007,,2006,,2005,,2004 (revised),,2003,,2002,,2001,,2000 (30),,1999 (29),,1998,,1997,,1996,,1995 (25),,1994 (24),,1993 (23),,1992 (22),,1991,,1990,,1989,,1988,,1987 (21),,1986,,1985 (20),,1984 (19),
,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error
Louisiana,58330.00,2024.00,57210.00,2879.00,51190.00,1602.00,51710.00,1412.00,49970.00,1754.00,43570.00,2088.00,43900.00,1453.00,42200.00,1197.00,45920.00,2140.00,42410.00,1862.00,46430.00,2543.00,39620.00,2857.00,39090.00,1611.00,40660.00,1929.00,39300.00,3248.00,45430.00,1813.00,39560.00,1486.00,41310.00,937.00,36490.00,1425.00,37240.00,1297.00,36430.00,1243.00,33510.00,1103.00,34010.00,1258.00,33320.00,1195.00,30720.00,828.00,32650.00,1244.00,31740.00,1660.00,33260.00,1551.00,30260.00,1290.00,27950.00,1090.00,25680.00,1501.00,26310.00,1164.00,25440.00,1142.00,25300.00,1156.00,22410.00,1580.00,22860.00,1857.00,20500.00,1474.00,21350.00,858.00,20890.00,956.00,21180.00,728.00,18950.00,880.00
Maine,75160.00,3545.00,71140.00,3092.00,63690.00,3437.00,66550.00,5002.00,58660.00,5683.00,53320.00,3121.00,51660.00,2146.00,50860.00,3346.00,50760.00,1929.00,51710.00,2171.00,54960.00,3863.00,50120.00,1953.00,49160.00,2247.00,49690.00,1983.00,47930.00,1687.00,47500.00,1739.00,47230.00,1436.00,47890.00,1398.00,45640.00,1797.00,43920.00,1433.00,41330.00,1223.00,37110.00,945.00,36850.00,846.00,36610.00,952.00,37270.00,853.00,38860.00,1319.00,35640.00,1049.00,32770.00,1301.00,34700.00,1211.00,33860.00,1088.00,30320.00,1537.00,27440.00,1203.00,29620.00,1026.00,27870.00,1253.00,27460.00,1572.00,28220.00,1389.00,26400.00,942.00,23600.00,1019.00,23420.00,970.00,20520.00,803.00,20650.00,884.00
Maryland,108200.00,5355.00,97330.00,4492.00,94790.00,4236.00,95570.00,3284.00,86220.00,3331.00,82090.00,3643.00,81080.00,3652.00,73760.00,2591.00,73590.00,2692.00,76170.00,4272.00,69350.00,2970.00,65260.00,4386.00,71840.00,1851.00,68880.00,2125.00,64200.00,2297.00,64190.00,1674.00,63710.00,1769.00,65630.00,1661.00,63670.00,1601.00,60510.00,1477.00,57100.00,1692.00,52310.00,1223.00,56410.00,1532.00,53530.00,1652.00,54540.00,1400.00,52210.00,2217.00,50020.00,2161.00,46690.00,1476.00,43990.00,2565.00,41040.00,1627.00,39200.00,1400.00,39940.00,1282.00,37200.00,1626.00,36950.00,1417.00,38860.00,1596.00,36020.00,1187.00,36550.00,1196.00,34970.00,1388.00,30600.00,1036.00,30140.00,966.00,29710.00,1151.00
Massachusetts,93550.00,3280.00,86570.00,4099.00,87810.00,6327.00,87710.00,2828.00,86350.00,2785.00,76240.00,2394.00,73230.00,3328.00,72270.00,2911.00,67860.00,2790.00,63150.00,2662.00,62530.00,5303.00,62960.00,3456.00,63660.00,3773.00,63310.00,3226.00,60930.00,2193.00,59370.00,1749.00,60320.00,1674.00,58460.00,2231.00,55330.00,2079.00,56020.00,1754.00,52020.00,1667.00,50960.00,953.00,49860.00,1153.00,52250.00,1518.00,46750.00,1357.00,44010.00,2023.00,42350.00,1961.00,42020.00,1383.00,39490.00,1932.00,38570.00,1475.00,40500.00,1060.00,37060.00,949.00,36360.00,738.00,35710.00,790.00,36250.00,828.00,36090.00,704.00,33210.00,839.00,32240.00,716.00,30340.00,735.00,28210.00,810.00,26960.00,693.00
Michigan,68990.00,2794.00,64490.00,3819.00,64390.00,3191.00,64120.00,1680.00,60450.00,1906.00,56410.00,2286.00,57700.00,2337.00,57090.00,1908.00,54200.00,2005.00,52010.00,1199.00,56570.00,1587.00,48800.00,2229.00,50020.00,1515.00,48880.00,1844.00,46280.00,1737.00,45990.00,1003.00,49790.00,1154.00,49370.00,798.00,48650.00,966.00,45930.00,915.00,42260.00,858.00,45020.00,950.00,42720.00,1115.00,45050.00,868.00,45510.00,1095.00,46090.00,1026.00,41820.00,917.00,38740.00,1108.00,39230.00,1143.00,36430.00,994.00,35280.00,685.00,32660.00,682.00,32270.00,761.00,32120.00,689.00,29940.00,663.00,30780.00,790.00,29470.00,607.00,27700.00,724.00,26610.00,648.00,24240.00,838.00,22970.00,635.00
Minnesota,90390.00,4307.00,80440.00,5050.00,78750.00,3393.00,81430.00,2988.00,71820.00,3656.00,69980.00,4649.00,71920.00,2991.00,70220.00,4045.00,68730.00,3063.00,67240.00,3207.00,64320.00,3992.00,60910.00,1843.00,61800.00,1339.00,57820.00,2380.00,52320.00,1606.00,56090.00,1237.00,54930.00,1427.00,58060.00,1888.00,56210.00,1218.00,54220.00,1244.00,56100.00,1070.00,52820.00,1228.00,54620.00,1196.00,52680.00,1134.00,54250.00,1703.00,47040.00,1527.00,47930.00,2115.00,42560.00,1510.00,40990.00,1225.00,37930.00,1848.00,33640.00,1360.00,33680.00,1212.00,30980.00,1297.00,29480.00,1146.00,31470.00,1028.00,30190.00,1278.00,29090.00,1041.00,28080.00,1113.00,26440.00,1150.00,23860.00,1022.00,24440.00,914.00
Mississippi,48610.00,2427.00,46640.00,1805.00,45130.00,2623.00,44790.00,2997.00,42780.00,2304.00,43280.00,1795.00,43440.00,2204.00,41100.00,1226.00,40040.00,1071.00,35520.00,1294.00,32340.00,2730.00,40850.00,2144.00,36640.00,1546.00,41090.00,2366.00,38160.00,2830.00,35080.00,1304.00,36450.00,830.00,37280.00,951.00,34730.00,1583.00,32880.00,1292.00,34760.00,1132.00,32730.00,1113.00,30880.00,766.00,30160.00,1186.00,34300.00,1354.00,32480.00,1408.00,29120.00,1158.00,28500.00,1386.00,26680.00,1316.00,26540.00,1028.00,25400.00,752.00,22190.00,1229.00,20570.00,1074.00,19480.00,1053.00,20180.00,802.00,19920.00,947.00,18170.00,888.00,18510.00,901.00,16510.00,639.00,16410.00,619.00,15430.00,732.00
Missouri,71520.00,4037.00,63590.00,2710.00,62180.00,2715.00,60600.00,2932.00,61730.00,2442.00,56530.00,2333.00,56890.00,2611.00,55020.00,1719.00,59200.00,2607.00,56630.00,3030.00,46300.00,4134.00,50310.00,3698.00,49760.00,2042.00,45770.00,2157.00,45820.00,2157.00,48770.00,1595.00,46040.00,1146.00,46010.00,1104.00,44580.00,1402.00,42990.00,989.00,42140.00,1073.00,43760.00,875.00,42780.00,1074.00,41340.00,1204.00,45100.00,1187.00,41380.00,1191.00,40200.00,1868.00,36550.00,2060.00,34270.00,1513.00,34830.00,1373.00,30190.00,1442.00,28680.00,1466.00,27360.00,1451.00,27930.00,1415.00,27330.00,1394.00,26500.00,746.00,23440.00,1088.00,23720.00,1167.00,21930.00,772.00,21940.00,608.00,20780.00,715.00
Montana,72980.00,2878.00,65000.00,5000.00,56740.00,2497.00,60200.00,2294.00,57680.00,2876.00,57410.00,2223.00,59090.00,2589.00,57080.00,2880.00,51400.00,2937.00,51100.00,1778.00,43200.00,5946.00,44130.00,3252.00,45090.00,2565.00,40280.00,2036.00,41280.00,1847.00,40440.00,1002.00,42900.00,1764.00,43660.00,1699.00,41110.00,697.00,37310.00,1161.00,33960.00,709.00,34110.00,1067.00,34840.00,1212.00,32130.00,737.00,32780.00,1001.00,31040.00,966.00,31580.00,1133.00,29210.00,1145.00,28680.00,1566.00,27760.00,1105.00,27630.00,1246.00,26470.00,965.00,26530.00,728.00,24830.00,890.00,23380.00,983.00,23690.00,1311.00,22230.00,829.00,20470.00,799.00,20330.00,749.00,20240.00,800.00,19540.00,720.00
Nebraska,78360.00,3148.00,78110.00,3963.00,72250.00,2453.00,73070.00,3259.00,67580.00,3933.00,59580.00,2790.00,59620.00,2848.00,59370.00,2678.00,60470.00,2937.00,56870.00,2254.00,57620.00,4217.00,53770.00,1815.00,52200.00,2699.00,55620.00,2693.00,52500.00,1761.00,49600.00,1657.00,50730.00,1254.00,49170.00,1379.00,48150.00,1490.00,47920.00,1447.00,43790.00,1332.00,43970.00,1306.00,42800.00,1038.00,43610.00,1116.00,41750.00,1018.00,38630.00,1366.00,36410.00,1549.00,34690.00,1528.00,34010.00,1500.00,32930.00,1155.00,31790.00,1116.00,31010.00,833.00,30050.00,1071.00,29550.00,1007.00,27480.00,1128.00,26320.00,1521.00,25160.00,960.00,23270.00,761.00,21770.00,814.00,21800.00,914.00,21400.00,765.00
